x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1984.11,1984-11,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1984,11,,,0,,0,,0,,64.3,30,4,,0,30,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1984.12,1984-12,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1984,12,,,0,,0,,0,,52.3,31,8,,13.5,31,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.1,1985-01,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,1,,,0,,0,,0,,30.6,31,9,,21,31,19,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.2,1985-02,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,2,,,0,,0,,0,,57,28,9,,24.4,28,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.3,1985-03,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,3,,,0,,0,,0,,56.6,31,7,,14,31,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.4,1985-04,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,4,,,0,,0,,0,,50.5,30,8,,2.9,30,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.5,1985-05,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,5,,,0,,0,,0,,79.9,31,10,,0,31,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.6,1985-06,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,6,,,0,,0,,0,,36.4,30,6,,0,30,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.7,1985-07,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,7,,,0,,0,,0,,67.8,31,9,,0,31,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.8,1985-08,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,8,,,0,,0,,0,,147.6,31,11,,0,31,0,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.9,1985-09,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,9,,,0,,0,,0,,58.5,30,9,,0,30,0,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.10,1985-10,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,10,,,0,,0,,0,,60.1,31,8,,0,31,0,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.11,1985-11,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,11,,,0,,0,,0,,139,30,16,,7,30,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1985.12,1985-12,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1985,12,,,0,,0,,0,,18.4,31,4,,8.8,31,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1986.1,1986-01,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1986,1,,,0,,0,,0,,22.3,31,7,,13.8,31,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1986.2,1986-02,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1986,2,,,0,,0,,0,,18.4,23,4,,19.6,28,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1986.3,1986-03,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1986,3,,,0,,0,,0,,19.4,28,4,,4,31,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1986.4,1986-04,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1986,4,,,0,,0,,0,,39.4,30,8,,2,30,,,,,,
-79.48333333333333,43.766666666666666,43.767,-79.483,TORONTO KEELE-FINCH,6158718,5093.1986.5,1986-05,2014-07-31 11:52:06,ON,ONTARIO,ONTARIO,1986,5,,,0,,0,,0,,70.7,31,8,,0,31,,,,,,
