OGF_ID,FIRE_DISTURBANCE_AREA_IDENT,FIRE_TYPE_CODE,FIRE_YEAR,FIRE_GENERAL_CAUSE_CODE,FIRE_RESPONSE_OBJ_CODE,FIRE_START_DATE,FIRE_OUT_DATE,FIRE_FINAL_SIZE,LOCATION_ACCURACY,BUSINESS_EFFECTIVE_DATE,GENERAL_COMMENTS,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
72861595,SLK132,IFR,2011,LTG,FUL,2011/08/07 00:00:00+00,2011/08/15 00:00:00+00,61,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:40+00,2012/02/21 23:34:37+00,1981,0,0
72861596,COC6,IFR,2011,LTG,MON,2011/06/12 00:00:00+00,2011/09/17 00:00:00+00,500,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:23+00,2012/02/21 23:34:37+00,1982,0,0
72861597,SLK55,IFR,2011,LTG,MON,2011/07/01 00:00:00+00,2011/08/10 00:00:00+00,300,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:22+00,2012/02/21 23:34:37+00,1983,0,0
72861598,RED111,IFR,2011,LTG,FUL,2011/07/14 00:00:00+00,2011/08/09 00:00:00+00,407,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:13+00,2012/02/21 23:34:37+00,1984,0,0
72861599,RED113,IFR,2011,LTG,FUL,2011/07/14 00:00:00+00,2011/08/19 00:00:00+00,1033,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:45+00,2012/02/21 23:34:37+00,1985,0,0
72861600,RED112,IFR,2011,LTG,MON,2011/07/17 00:00:00+00,2011/07/21 00:00:00+00,50,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:08+00,2012/02/21 23:34:37+00,1986,0,0
72861601,SLK71,IFR,2011,LTG,MON,2011/07/05 00:00:00+00,2011/08/25 00:00:00+00,70,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:19+00,2012/02/21 23:34:37+00,1987,0,0
72861602,COC22,IFR,2011,LTG,MON,2011/07/31 00:00:00+00,2011/09/17 00:00:00+00,50,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:44+00,2012/02/21 23:34:37+00,1988,0,0
72861603,COC21,IFR,2011,LTG,MON,2011/07/31 00:00:00+00,2011/09/17 00:00:00+00,40,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:34+00,2012/02/21 23:34:37+00,1989,0,0
72861604,THU57,IFR,2011,LTG,MON,2011/07/30 00:00:00+00,2011/10/18 00:00:00+00,3973,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:18:59+00,2012/02/21 23:34:37+00,1990,0,0
72861605,NIP94,IFR,2011,LTG,MON,2011/08/07 00:00:00+00,2011/09/28 00:00:00+00,145,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:20+00,2012/02/21 23:34:37+00,1991,0,0
72861606,KEN91,IFR,2011,LTG,FUL,2011/08/11 00:00:00+00,2011/08/30 00:00:00+00,40,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:41+00,2012/02/21 23:34:37+00,1992,0,0
72861607,WAW12,IFR,2011,LTG,FUL,2011/06/07 00:00:00+00,2011/06/29 00:00:00+00,60,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:47+00,2012/02/21 23:34:37+00,1993,0,0
72861608,TIM34,IFR,2011,MIS,FUL,2011/09/25 00:00:00+00,2011/12/30 00:00:00+00,40,Within 200 metres,2012/02/21 00:00:00+00,,,2012/02/21 16:19:24+00,2012/02/21 23:34:37+00,1994,0,0
71294515,RED32,IFR,2010,LTG,FUL,2010/05/25 00:00:00+00,2010/06/16 00:00:00+00,4417,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:01:04+00,2011/03/19 10:00:30+00,1995,0,0
71294516,NIP45,IFR,2010,LTG,MON,2010/06/20 00:00:00+00,2010/07/23 00:00:00+00,40,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:49+00,2011/03/19 10:00:30+00,1996,0,0
71294517,RED44,IFR,2010,LTG,FUL,2010/08/22 00:00:00+00,2010/09/03 00:00:00+00,176,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:44+00,2011/03/19 10:00:30+00,1997,0,0
71294518,RED1,PB,2010,MIS,MON,2010/10/15 00:00:00+00,2010/10/23 00:00:00+00,1066,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:51+00,2011/03/19 10:00:30+00,1998,0,0
71294519,RED26,IFR,2010,IDF,FUL,2010/05/18 00:00:00+00,2010/06/09 00:00:00+00,1077,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:46+00,2011/03/19 10:00:30+00,1999,0,0
71294520,RED25,IFR,2010,LTG,FUL,2010/05/18 00:00:00+00,2010/05/27 00:00:00+00,50,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:56+00,2011/03/19 10:00:30+00,2000,0,0
71294521,NIP35,IFR,2010,REC,FUL,2010/06/18 00:00:00+00,2010/06/27 00:00:00+00,50,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:38+00,2011/03/19 10:00:30+00,2001,0,0
71294522,HEA31,IFR,2010,LTG,FUL,2010/06/19 00:00:00+00,2010/08/06 00:00:00+00,485,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:01:07+00,2011/03/19 10:00:30+00,2002,0,0
71294523,FOR1,PB,2010,MIS,MON,2010/10/15 00:00:00+00,2010/11/15 00:00:00+00,112,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:59+00,2011/03/19 10:00:30+00,2003,0,0
71294524,HEA20,IFR,2010,LTG,FUL,2010/05/24 00:00:00+00,2010/06/19 00:00:00+00,219,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:43+00,2011/03/19 10:00:30+00,2004,0,0
71294525,FOR3,IFR,2010,INC,FUL,2010/03/27 00:00:00+00,2010/04/08 00:00:00+00,410,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:52+00,2011/03/19 10:00:30+00,2005,0,0
71294526,KLK5,IFR,2010,RES,FUL,2010/05/13 00:00:00+00,2010/05/16 00:00:00+00,132,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:58+00,2011/03/19 10:00:30+00,2006,0,0
71294527,TIM9,IFR,2010,MIS,FUL,2010/05/19 00:00:00+00,2010/06/04 00:00:00+00,83,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:01:01+00,2011/03/19 10:00:30+00,2007,0,0
71294528,TIM7,IFR,2010,INC,FUL,2010/05/19 00:00:00+00,2010/06/04 00:00:00+00,125,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:34+00,2011/03/19 10:00:30+00,2008,0,0
71294529,WAW18,IFR,2010,UNK,FUL,2010/05/27 00:00:00+00,2010/08/10 00:00:00+00,2051,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:01:03+00,2011/03/19 10:00:30+00,2009,0,0
71294530,TIM13,IFR,2010,LTG,FUL,2010/05/26 00:00:00+00,2010/06/23 00:00:00+00,135,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:55+00,2011/03/19 10:00:30+00,2010,0,0
71294531,SUD9,IFR,2010,RES,FUL,2010/03/31 00:00:00+00,2010/04/01 00:00:00+00,72,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:35+00,2011/03/19 10:00:30+00,2011,0,0
71294532,AYL1,PB,2010,MIS,MON,2010/04/15 00:00:00+00,2010/04/19 00:00:00+00,65,Within 100 metres,2011/03/18 00:00:00+00,,,2011/03/18 11:00:54+00,2011/03/19 10:00:30+00,2012,0,0
72839576,RED65,IFR,2011,LTG,MON,2011/07/04 00:00:00+00,2011/07/22 00:00:00+00,420,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 08:58:38+00,2012/02/21 23:34:37+00,2013,0,0
72839577,RED114,IFR,2011,LTG,MON,2011/07/15 00:00:00+00,2011/08/07 00:00:00+00,141,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 08:58:34+00,2012/02/21 23:34:37+00,2014,0,0
72858715,RED107,IFR,2011,LTG,MON,2011/07/04 00:00:00+00,2011/08/27 00:00:00+00,3185,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:30+00,2012/02/21 23:34:37+00,2015,0,0
72858724,RED118,IFR,2011,LTG,MON,2011/07/09 00:00:00+00,2011/08/26 00:00:00+00,17057,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:27+00,2012/02/21 23:34:37+00,2016,0,0
72858731,SLK85,IFR,2011,LTG,MON,2011/07/05 00:00:00+00,2011/08/27 00:00:00+00,375,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:41+00,2012/02/21 23:34:37+00,2017,0,0
72858735,SLK87,IFR,2011,LTG,MON,2011/07/13 00:00:00+00,2011/08/27 00:00:00+00,1000,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:05+00,2012/02/21 23:34:37+00,2018,0,0
72858742,RED100,IFR,2011,LTG,MON,2011/07/09 00:00:00+00,2011/08/26 00:00:00+00,10366,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:24+00,2012/02/21 23:34:37+00,2019,0,0
72858748,RED54,IFR,2011,LTG,MON,2011/07/03 00:00:00+00,2011/08/26 00:00:00+00,2042,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:51+00,2012/02/21 23:34:37+00,2020,0,0
72858752,SLK48,IFR,2011,LTG,MON,2011/07/01 00:00:00+00,2011/10/20 00:00:00+00,7500,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:49+00,2012/02/21 23:34:37+00,2021,0,0
72858705,SLK88,IFR,2011,LTG,FUL,2011/07/13 00:00:00+00,2011/08/27 00:00:00+00,1700,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:36+00,2012/02/21 23:34:37+00,2022,0,0
72858854,RED55,IFR,2011,LTG,FUL,2011/07/04 00:00:00+00,2011/08/19 00:00:00+00,1322,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:17+00,2012/02/21 23:34:37+00,2023,0,0
72858858,SLK47,IFR,2011,LTG,MON,2011/07/01 00:00:00+00,2011/08/25 00:00:00+00,3775,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:52+00,2012/02/21 23:34:37+00,2024,0,0
72858864,RED32,IFR,2011,LTG,MON,2011/06/29 00:00:00+00,2011/08/27 00:00:00+00,2931,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:14+00,2012/02/21 23:34:37+00,2025,0,0
72858871,RED123,IFR,2011,LTG,MON,2011/07/20 00:00:00+00,2011/08/20 00:00:00+00,265,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:12+00,2012/02/21 23:34:37+00,2026,0,0
72858875,NIP40,IFR,2011,LTG,MON,2011/07/08 00:00:00+00,2011/09/27 00:00:00+00,12600,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:23+00,2012/02/21 23:34:37+00,2027,0,0
72858881,RED53,IFR,2011,LTG,MON,2011/07/04 00:00:00+00,2011/08/28 00:00:00+00,1034,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:35+00,2012/02/21 23:34:37+00,2028,0,0
72858888,RED120,IFR,2011,LTG,MON,2011/07/15 00:00:00+00,2011/08/30 00:00:00+00,133,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:21+00,2012/02/21 23:34:37+00,2029,0,0
72858894,RED122,IFR,2011,LTG,FUL,2011/07/20 00:00:00+00,2011/08/06 00:00:00+00,302,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:55+00,2012/02/21 23:34:37+00,2030,0,0
72858898,RED23,IFR,2011,UNK,MOD,2011/07/02 00:00:00+00,2011/08/22 00:00:00+00,1324,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:28+00,2012/02/21 23:34:37+00,2031,0,0
72858771,RED24,IFR,2011,LTG,MON,2011/06/30 00:00:00+00,2011/08/26 00:00:00+00,10445,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:20+00,2012/02/21 23:34:37+00,2032,0,0
72858756,RED22,IFR,2011,LTG,MON,2011/06/30 00:00:00+00,2011/08/19 00:00:00+00,3100,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:58+00,2012/02/21 23:34:37+00,2033,0,0
72858763,SLK38,IFR,2011,LTG,MOD,2011/06/13 00:00:00+00,2011/08/27 00:00:00+00,8674,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:18+00,2012/02/21 23:34:37+00,2034,0,0
72858777,RED58,IFR,2011,LTG,MOD,2011/07/04 00:00:00+00,2011/08/28 00:00:00+00,4193,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:20+00,2012/02/21 23:34:37+00,2035,0,0
72858784,RED82,IFR,2011,LTG,MOD,2011/07/10 00:00:00+00,2011/08/30 00:00:00+00,14232,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:25+00,2012/02/21 23:34:37+00,2036,0,0
72858791,RED73,IFR,2011,LTG,MON,2011/07/06 00:00:00+00,2011/08/26 00:00:00+00,43,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:00+00,2012/02/21 23:34:37+00,2037,0,0
72858794,RED101,IFR,2011,LTG,MON,2011/07/09 00:00:00+00,2011/08/27 00:00:00+00,179,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:01+00,2012/02/21 23:34:37+00,2038,0,0
72858798,RED106,IFR,2011,LTG,MON,2011/07/09 00:00:00+00,2011/08/27 00:00:00+00,489,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:07+00,2012/02/21 23:34:37+00,2039,0,0
72858804,RED96,IFR,2011,LTG,MON,2011/07/04 00:00:00+00,2011/08/27 00:00:00+00,4795,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:18+00,2012/02/21 23:34:37+00,2040,0,0
72858810,SLK50,IFR,2011,LTG,MON,2011/07/03 00:00:00+00,2011/08/08 00:00:00+00,850,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:42+00,2012/02/21 23:34:37+00,2041,0,0
72858814,RED26,IFR,2011,LTG,FUL,2011/07/01 00:00:00+00,2011/07/27 00:00:00+00,121,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:38+00,2012/02/21 23:34:37+00,2042,0,0
72858820,SLK70,IFR,2011,LTG,FUL,2011/07/07 00:00:00+00,2011/10/20 00:00:00+00,141000,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:24+00,2012/02/21 23:34:37+00,2043,0,0
72858835,SLK51,IFR,2011,LTG,MON,2011/07/03 00:00:00+00,2011/08/07 00:00:00+00,520,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:15+00,2012/02/21 23:34:37+00,2044,0,0
72858841,RED29,IFR,2011,LTG,MON,2011/07/04 00:00:00+00,2011/08/27 00:00:00+00,27482,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:01+00,2012/02/21 23:34:37+00,2045,0,0
72858847,SLK76,IFR,2011,LTG,MON,2011/07/10 00:00:00+00,2011/08/25 00:00:00+00,1382,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:09+00,2012/02/21 23:34:37+00,2046,0,0
72858904,NIP55,IFR,2011,LTG,MON,2011/07/18 00:00:00+00,2011/09/27 00:00:00+00,412,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:14+00,2012/02/21 23:34:37+00,2047,0,0
