OGF_ID,FIRE_DISTURBANCE_AREA_IDENT,FIRE_TYPE_CODE,FIRE_YEAR,FIRE_GENERAL_CAUSE_CODE,FIRE_RESPONSE_OBJ_CODE,FIRE_START_DATE,FIRE_OUT_DATE,FIRE_FINAL_SIZE,LOCATION_ACCURACY,BUSINESS_EFFECTIVE_DATE,GENERAL_COMMENTS,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
72859002,SLK65,IFR,2011,LTG,FUL,2011/07/04 00:00:00+00,2011/08/25 00:00:00+00,245,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:17+00,2012/02/21 23:34:37+00,2058,0,0
72859023,RED84,IFR,2011,LTG,FUL,2011/07/10 00:00:00+00,2011/12/06 00:00:00+00,41009,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:33+00,2012/02/21 23:34:37+00,2060,0,0
72859057,SLK82,IFR,2011,LTG,MON,2011/07/09 00:00:00+00,2011/09/27 00:00:00+00,10000,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:27+00,2012/02/21 23:34:37+00,2061,0,0
72859063,THU58,IFR,2011,LTG,MON,2011/07/29 00:00:00+00,2011/08/30 00:00:00+00,230,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:12+00,2012/02/21 23:34:37+00,2062,0,0
72859068,THU50,IFR,2011,LTG,MON,2011/07/20 00:00:00+00,2011/10/18 00:00:00+00,18348,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:03+00,2012/02/21 23:34:37+00,2063,0,0
72859079,COC25,IFR,2011,LTG,MON,2011/08/08 00:00:00+00,2011/09/20 00:00:00+00,1000,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:32:08+00,2012/02/21 23:34:37+00,2064,0,0
72859083,THU51,IFR,2011,LTG,MOD,2011/07/20 00:00:00+00,2011/08/30 00:00:00+00,763,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:26+00,2012/02/21 23:34:37+00,2065,0,0
72859087,THU33,IFR,2011,LTG,FUL,2011/06/07 00:00:00+00,2011/07/09 00:00:00+00,125,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:11+00,2012/02/21 23:34:37+00,2066,0,0
72859092,THU80,IFR,2011,LTG,MON,2011/08/12 00:00:00+00,2011/10/18 00:00:00+00,1725,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:08+00,2012/02/21 23:34:37+00,2067,0,0
72859096,THU22,IFR,2011,RWY,FUL,2011/05/19 00:00:00+00,2011/06/23 00:00:00+00,1317,Within 100 metres,2012/02/21 00:00:00+00,,,2012/02/21 15:31:57+00,2012/02/21 23:34:37+00,2068,0,0
