x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-80.30695666666666,46.14250166666667,46.150,-80.300,MONETVILLE,6065250,4125.1981.1,1981-01,2014-07-31 11:51:26,ON,ONTARIO,ONTARIO,1981,1,-11.96,-15.335483870967742,31,-42,31,4.5,31,80.63,31.5,31,5,63.22,30,31,,,,,0,1033.4
-80.30695666666666,46.14250166666667,46.150,-80.300,MONETVILLE,6065250,4125.1981.2,1981-02,2014-07-31 11:51:26,ON,ONTARIO,ONTARIO,1981,2,-9.28,-5.392857142857143,28,-34.5,28,9,28,61.11,106.4,28,15,48.82,80.8,28,,,,,0,655
-80.30695666666666,46.14250166666667,46.150,-80.300,MONETVILLE,6065250,4125.1981.3,1981-03,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,1981,3,-4.21,-2.5612903225806454,31,-21.5,31,11,31,64.8,50.9,31,15,29.42,30.4,31,,,,,0,637.4
-80.30695666666666,46.14250166666667,46.150,-80.300,MONETVILLE,6065250,4125.1981.4,1981-04,2014-07-31 11:51:26,ON,ONTARIO,ONTARIO,1981,4,4.41,5.764,25,-12,27,18.5,26,68.43,93.9,30,7,12.68,0.6,30,,,,,0,305.9
-80.30695666666666,46.14250166666667,46.150,-80.300,MONETVILLE,6065250,4125.1981.5,1981-05,2014-07-31 11:51:26,ON,ONTARIO,ONTARIO,1981,5,11.15,9.66,30,-6.5,30,26.5,31,96.22,82,31,8,1.41,0,31,,,,,0,250.2
-80.30695666666666,46.14250166666667,46.150,-80.300,MONETVILLE,6065250,4125.1981.6,1981-06,2014-07-31 11:51:26,ON,ONTARIO,ONTARIO,1981,6,16.42,15.39,30,3,30,26,30,76.85,131.2,30,13,,0,30,,,,,7,85.3
-80.30695666666666,46.14250166666667,46.150,-80.300,MONETVILLE,6065250,4125.1981.7,1981-07,2014-07-31 11:51:26,ON,ONTARIO,ONTARIO,1981,7,19.4,19.373333333333335,30,4,30,31,30,85.3,24.6,31,5,,0,31,,,,,64.1,22.9
-80.30695666666666,46.14250166666667,46.150,-80.300,MONETVILLE,6065250,4125.1981.8,1981-08,2014-07-31 11:51:26,ON,ONTARIO,ONTARIO,1981,8,17.96,17.864516129032257,31,3,31,28.5,31,85,121.4,31,12,,0,31,,,,,25.4,29.6
-80.30695666666666,46.14250166666667,46.150,-80.300,MONETVILLE,6065250,4125.1981.9,1981-09,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,1981,9,13.45,12.511111111111111,27,-5,28,25.5,28,103.33,155.4,30,14,,0,30,,,,,5.1,153.3
-80.30695666666666,46.14250166666667,46.150,-80.300,MONETVILLE,6065250,4125.1981.10,1981-10,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,1981,10,6.7,4.516129032258065,31,-7.5,31,17,31,104.48,99.5,31,9,3.93,0.6,31,,,,,0,418
