x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.1,1978-01,2022-05-27 11:23:27,ON,ONTARIO,ONTARIO,1978,1,,-21.274193548387096,31,-39.3,31,-2.8,31,,14.8,31,3,,18.8,31,47,,,,0,1217.5
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.2,1978-02,2022-05-27 11:23:27,ON,ONTARIO,ONTARIO,1978,2,,-18.5,28,-39.7,28,-0.9,28,,9.6,28,4,,14.6,28,54,,,,0,1022
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.3,1978-03,2022-05-27 10:53:53,ON,ONTARIO,ONTARIO,1978,3,,-12.05483870967742,31,-33,31,5.6,31,,31.8,31,9,,34.3,31,56,,,,0,931.7
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.4,1978-04,2022-05-27 10:58:16,ON,ONTARIO,ONTARIO,1978,4,,-1.88,30,-30.5,30,16,30,,27.2,30,8,,16.4,30,0,,,,0,596.4
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.5,1978-05,2022-05-27 11:06:11,ON,ONTARIO,ONTARIO,1978,5,,9.574193548387097,31,-8.3,31,30,31,,89,31,12,,0,31,0,,,,8.3,269.5
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.6,1978-06,2022-05-27 11:31:18,ON,ONTARIO,ONTARIO,1978,6,,12.303333333333333,30,-1.5,30,26.1,30,,87.8,30,12,,0,30,0,,,,5.9,176.8
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.7,1978-07,2022-05-27 11:39:10,ON,ONTARIO,ONTARIO,1978,7,,15.719354838709677,31,2,31,28.1,31,,98.4,31,11,,0,31,0,,,,15.8,86.5
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.8,1978-08,2022-05-27 11:02:22,ON,ONTARIO,ONTARIO,1978,8,,14.709677419354838,31,0.4,31,28.4,31,,79.8,31,11,,0,31,0,,,,11.1,113.1
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.9,1978-09,2022-05-27 11:35:33,ON,ONTARIO,ONTARIO,1978,9,,9.353333333333333,30,-1.2,30,24.1,30,,85,30,13,,0,30,0,,,,0,259.4
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.10,1978-10,2022-05-27 11:13:12,ON,ONTARIO,ONTARIO,1978,10,,3.7580645161290325,31,-9.1,31,19.5,31,,33.4,31,8,,0.6,31,0,,,,0,441.5
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.11,1978-11,2022-05-27 11:13:12,ON,ONTARIO,ONTARIO,1978,11,,-7.456666666666667,30,-30,30,18,30,,30.2,30,9,,34.4,30,25,,,,0,763.7
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1978.12,1978-12,2022-05-27 10:49:29,ON,ONTARIO,ONTARIO,1978,12,,-19.174193548387098,31,-38,31,-2.8,31,,25,31,7,,35,31,50,,,,0,1152.4
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1979.1,1979-01,2022-05-27 10:39:10,ON,ONTARIO,ONTARIO,1979,1,,-22.86774193548387,31,-42.5,31,-4.3,31,,10.8,31,4,,10.4,31,40,,,,0,1266.9
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1979.2,1979-02,2022-05-27 11:06:13,ON,ONTARIO,ONTARIO,1979,2,,-22.05,28,-42.4,28,0.7,28,,36.4,28,8,,36.2,28,61,,,,0,1121.4
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1979.3,1979-03,2022-05-27 11:13:10,ON,ONTARIO,ONTARIO,1979,3,,-9.612903225806452,31,-35.3,31,6.6,31,,89.2,31,11,,91.4,31,68,,,,0,856
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1979.4,1979-04,2022-05-27 10:58:26,ON,ONTARIO,ONTARIO,1979,4,,-1.43,30,-30.5,30,14.5,30,,25.8,30,6,,3.2,30,0,,,,0,582.9
-86.95,49.7,49.700,-86.950,GERALDTON,6042715,4002.1979.5,1979-05,2022-05-27 11:35:40,ON,ONTARIO,ONTARIO,1979,5,,5.996774193548387,31,-8.2,31,22.2,31,,81,31,12,,0,31,0,,,,0,372.1
