x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-81.5,43.31666666666667,43.317,-81.500,HURON PARK,6123672,4574.1990.1,1990-01,2014-07-31 11:51:43,ON,ONTARIO,ONTARIO,1990,1,,-1.1193548387096774,31,-9.2,31,8.4,31,,75,31,11,,34,31,,,,,0,592.7
-81.5,43.31666666666667,43.317,-81.500,HURON PARK,6123672,4574.1990.2,1990-02,2014-07-31 11:51:43,ON,ONTARIO,ONTARIO,1990,2,,-2.992857142857143,28,-19.5,28,8.8,28,,83.7,28,10,,27,28,3,,,,0,587.8
-81.5,43.31666666666667,43.317,-81.500,HURON PARK,6123672,4574.1990.3,1990-03,2014-07-31 11:51:43,ON,ONTARIO,ONTARIO,1990,3,,2.2225806451612904,31,-12.9,31,22.9,31,,65.5,31,9,,2.4,31,,,,,0.4,489.5
-81.5,43.31666666666667,43.317,-81.500,HURON PARK,6123672,4574.1990.4,1990-04,2014-07-31 11:51:43,ON,ONTARIO,ONTARIO,1990,4,,8.716666666666667,30,-4.5,30,30.8,30,,79.5,30,12,,1.6,30,,,,,18.9,297.4
-81.5,43.31666666666667,43.317,-81.500,HURON PARK,6123672,4574.1990.5,1990-05,2014-07-31 11:51:43,ON,ONTARIO,ONTARIO,1990,5,,11.996774193548386,31,0.1,31,26,31,,88.4,31,10,,0,31,,,,,1.8,187.9
-81.5,43.31666666666667,43.317,-81.500,HURON PARK,6123672,4574.1990.6,1990-06,2014-07-31 11:51:43,ON,ONTARIO,ONTARIO,1990,6,,18.30666666666667,30,3.8,30,31.7,30,,85.2,30,11,,0,30,,,,,50.1,40.9
-81.5,43.31666666666667,43.317,-81.500,HURON PARK,6123672,4574.1990.7,1990-07,2014-07-31 11:51:43,ON,ONTARIO,ONTARIO,1990,7,,20.364516129032257,31,7.7,31,35.3,31,,179,31,8,,0,31,,,,,79.1,5.8
-81.5,43.31666666666667,43.317,-81.500,HURON PARK,6123672,4574.1990.8,1990-08,2014-07-31 11:51:43,ON,ONTARIO,ONTARIO,1990,8,,19.81935483870968,31,8.2,31,29.2,31,,100.6,31,9,,0,31,,,,,68.3,11.9
-81.5,43.31666666666667,43.317,-81.500,HURON PARK,6123672,4574.1990.9,1990-09,2014-07-31 11:51:43,ON,ONTARIO,ONTARIO,1990,9,,15.723333333333333,30,1.6,30,28,30,,144,30,11,,0,30,,,,,22.9,91.2
-81.5,43.31666666666667,43.317,-81.500,HURON PARK,6123672,4574.1990.10,1990-10,2014-07-31 11:51:43,ON,ONTARIO,ONTARIO,1990,10,,9.73225806451613,31,-1.5,31,26.4,31,,129.4,31,15,,0,31,,,,,3.3,259.6
