x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1978.6,1978-06,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1978,6,,17.782758620689656,29,2,29,32.5,29,,31.8,30,5,,0,30,,,,,41.2,47.5
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1978.7,1978-07,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1978,7,,20.51290322580645,31,7,31,35,31,,45,31,7,,0,31,,,,,94.8,16.9
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1978.8,1978-08,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1978,8,,19.770967741935483,31,6,31,33,31,,83.8,31,10,,0,31,,,,,66.7,11.8
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1982.6,1982-06,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1982,6,,,0,,0,,0,,155.5,30,15,,0,30,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1982.7,1982-07,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1982,7,,,0,,0,,0,,36.3,31,4,,0,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1982.8,1982-08,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1982,8,,,0,,0,,0,,124.8,31,10,,0,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1982.9,1982-09,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1982,9,,,0,,0,,0,,143.6,30,9,,0,30,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1982.10,1982-10,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1982,10,,,0,,0,,0,,35.9,31,6,,0,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1982.11,1982-11,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1982,11,,,0,,0,,0,,91.9,30,12,,2,30,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1982.12,1982-12,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1982,12,,,0,,0,,0,,87.5,31,14,,26.5,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.1,1983-01,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,1,,,0,,0,,0,,23.8,31,5,,8,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.2,1983-02,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,2,,,0,,0,,0,,47.8,28,6,,9,28,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.3,1983-03,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,3,,,0,,0,,0,,68.8,31,10,,18.8,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.4,1983-04,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,4,,,0,,0,,0,,96.6,30,11,,0,30,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.5,1983-05,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,5,,,0,,0,,0,,116.2,31,12,,0,31,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.6,1983-06,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,6,,,0,,0,,0,,48.3,30,7,,0,30,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.7,1983-07,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,7,,,0,,0,,0,,26.1,31,5,,0,31,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.8,1983-08,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,8,,,0,,0,,0,,114.1,31,9,,0,31,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.9,1983-09,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,9,,,0,,0,,0,,62.9,30,6,,0,30,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.10,1983-10,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,10,,,0,,0,,0,,63.8,31,9,,0,31,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.11,1983-11,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,11,,,0,,0,,0,,90.1,30,13,,6.5,30,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1983.12,1983-12,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1983,12,,,0,,0,,0,,72.1,31,9,,20.8,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.1,1984-01,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,1,,,0,,0,,0,,39.2,31,9,,35.2,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.2,1984-02,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,2,,,0,,0,,0,,91.8,29,10,,33.4,29,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.3,1984-03,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,3,,,0,,0,,0,,64.1,31,11,,21.6,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.4,1984-04,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,4,,,0,,0,,0,,69.2,30,11,,0,30,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.5,1984-05,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,5,,,0,,0,,0,,113.8,31,13,,0,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.6,1984-06,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,6,,,0,,0,,0,,83.2,30,7,,0,30,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.7,1984-07,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,7,,,0,,0,,0,,89.2,31,9,,0,31,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.8,1984-08,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,8,,,0,,0,,0,,45.4,31,9,,0,31,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.9,1984-09,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,9,,,0,,0,,0,,70.7,30,10,,0,30,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.10,1984-10,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,10,,,0,,0,,0,,19.7,31,7,,0,31,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.11,1984-11,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,11,,,0,,0,,0,,58.5,30,8,,0,30,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1984.12,1984-12,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1984,12,,,0,,0,,0,,53.6,31,13,,14.5,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.1,1985-01,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,1,,,0,,0,,0,,53.7,31,9,,34.4,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.2,1985-02,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,2,,,0,,0,,0,,55.9,28,11,,31.7,28,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.3,1985-03,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,3,,,0,,0,,0,,67.7,31,10,,13.2,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.4,1985-04,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,4,,,0,,0,,0,,28.6,30,5,,5.5,30,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.5,1985-05,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,5,,,0,,0,,0,,55.9,31,10,,0,31,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.6,1985-06,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,6,,,0,,0,,0,,39.5,30,5,,0,30,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.7,1985-07,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,7,,,0,,0,,0,,55.8,31,8,,0,31,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.8,1985-08,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,8,,,0,,0,,0,,161,31,10,,0,31,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.9,1985-09,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,9,,,0,,0,,0,,65.6,30,10,,0,30,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.10,1985-10,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,10,,,0,,0,,0,,62.9,31,11,,0,31,0,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.11,1985-11,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,11,,,0,,0,,0,,172.9,30,16,,6.6,30,,,,,,
-79.73333333333333,43.53333333333333,43.533,-79.733,HORNBY TRAFALGAR TS,6153552,4946.1985.12,1985-12,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1985,12,,,0,,0,,0,,44.2,31,11,,22.8,31,,,,,,
